# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Aegyptiacus	Egyptian
Aegyptius	Egyptian
Aegyptus1	Egypt
Aegyptus2	king of Egypt, son of Belus
Aelianus	originating from an Aelius
Aelius	Roman family name.—
Aello	name of a harpy
Aemilianus	relating to the Aemilian gens, Aemilian
Aemilius1	Roman family name
Aemilius2	poet, the friend of Virgil and Ovid
Aenaria	island on the western coast of Campania
Aenea2	city of Chalcidice, in Macedonia, opposite Pydna
Aeneae Portus	harbor near Torone and Mount Athos
Aeneas	son of Venus and Anchises
Aeneis	Aeneid, Virgil's celebrated epic
Aeneius	of or pertaining to Aeneas
Aenesi	companions of Aeneas, Paul. ex
Aenianes	people of Thessalia, west of the Sinus Maliacus
Aenobarbus	family name of the Domitian gens
Aenus1	city of Thrace, south-east of the Palus Stentoris
Aenus2	river Inn
Aeoles	Aeolians
Aeolia	group of islands near Sicily, so called after Aeolus
Aeolicus	pertaining to the Aeolians, Aeolian, Aeolic
Aeolides	male descendant of Aeolus
Aeolis1	country in Asia Minor, north of Ionia
Aeolis2	female descendant of Aeolus
Aeolius	pertaining to Aeolus, Aeolia
Aeolus	god of the winds, son of Jupiter
Aepy	city of Elis, mentioned by Homer
Aequana	mountain range near Sorrentum
Aequi	warlike people of ancient Italy
Aequimaelium	open space in Rome below the Capitol
Aerope	wife of Atreus
Aesacus	son of Priam
Aesar	name of God among the Etruscans
Aeschines	disciple of Socrates
Aeschylus	first great tragic poet of Greece
Aesculanus	god of copper or copper money
Aesculapium	temple of Aesculapius
Aesculapius	son of Apollo and the nymph Coronis
Aesernia	town in Samnium, on the river Vulturnus, now Isernia
Aesis1	river in Umbria
Aesis2	town in Umbria on the river Aesis
Aeson	Thessalian prince, brother of king Pelias
Aesopicus	Aesopic
Aesopius	Aesopic, Aesopian
Aesopus	Aesop, the Greek fabulist of Phrygia
Aestii	Germanic people on the southeast or east of the Baltic
Aesula	town in the neighborhood of Tibur
Aethiopia	Ethiopia
Aethiopissa	Ethiopian woman
Aethiops	sunburnt, --> dark-complexioned races above Egypt]
Aethon	name of a horse
Aethra2	Daughter of Oceanus and Tethys, mother of Hyas
Aetna	celebrated volcano of Sicily, now Mongibello or Aetna
Aetnaeus	Pertaining to Aetna
Aetnensis	pertaining to the town of Aetna
Aetolia	province in Middle Greece, between Locri and Acarnania
Aex	name of a rocky island in the Aegean Sea
Afer	African
Afranius	Roman family name.—
Africa	Libya, the territory of Carthage
Agamedes	brother of Trophonius
Agamemnon	king of Mycenoe, son of Atreus and of Aerope
Aganippe	fountain in Boeotia, on Mount Helicon
Agathocles	king of Sicily, son of a potter
Agathyrna	town on the northern coast of Sicily
Agathyrsi	Scythian people
Agave	daughter of Cadmus and Harmonia, wife of Echion
Agelastus	surname of M. Crassus
Agendicum	town in Gallia Lugdunensis
Agenor	son of Belus, king of Phoenicia
Agesilaus	One of the most valiant of the Spartan kings
Agis	king of Sparta, murdered by his own subjects
Aglaia	one of the graces
Aglaophon	celebrated Greek painter, painter, before Zeuxis
Aglauros	daughter of Cecrops
Agnalia	Roman festival
Agoce	town in Aethiopia, on the borders of Egypt
Agonalia	festival in honor of Janus
Agonalis	pertaining to the Agonalia
Agonensis	one of the gates of Rome
Agricola2	Roman proper name
Agrigentum	one of the largest and richest cities
Agrippa	Roman family name
Agrippina	name of several Roman women
Agrius2	son of Parthaon
Agyieus	epithet of Apollo, as guardian deity of the streets
Agylla	town in Etruria, called later Caere, now Cervetri
Agyrium	very old town in Sicily, not far from Enna
Ahala	Roman family name
Aharna	town in Etruria
Aius Loquens	deity among the Romans
Ajax	name of two Greeks renowned for their bravery
Alabanda	city in the interior of Caria
Alabastron	city of Egypt in the Thebais
Alabis	river in Sicily
Alanus	of or pertaining to the Alani
Alaricus	Alaric, a king of the Goths
Alasi	tribe of Libya
Alastor	One of the companions of Sarpedon, king of Lycia
Alazon2	river in Albania, now Alasan
Alba Aemilus	confidant of C. Verres
Alba2	mother city of Rome, built by Ascanius
Alba3	name of a king in Alba Longa
Alba4	river in Hispania Tarraconensis
Albana	road leading to Capua
Albania	province on the coast of the Caspian Sea
Albanus	Pertaining to the town of Alba, Alban
Albianus	pertaining to Albius
Albinius	Roman family name
Albinovanus	Roman proper name
Albinus2	Roman family name
Albion1	ancient name for Britain, in Ptol
Albion2	son of Neptune
Albis	river of Germany, now the Elbe
Albius	Roman family name. —Albius Tibullus
Albona	town in Liburnia
Albula	earlier name for the river Tiber, in Middle Italy
Albunea	fountain at Tibur gushing up between steep rocks
Alburnus2	mountain in Lucania, not far from the river Silarus
Alcaeus	renowned lyric poet of Mitylene, contemporary with Sappho
Alcamenes	Greek sculptor of the school of Phidias
Alcander	Trojan
Alcathoe	castle of Megara, named after Alcathous
Alcathous	son of Pelops, founder of Megara
Alce	town in Hispania Tarraconensis, now Alcazar de S. Juan
Alcestis	daughter of Pelias
Alceus	father of Amphitryo and grandfather of Hercules
Alcides	male descendant of Alceus
Alcimachus	famous Greek painter
Alcimede	daughter of Autolycus, wife of Aeson
Alcimedon	name of an artist in wood-carving
Alcinous	king of the Phoeacians, by whom Ulysses
Alcis1	appellation of Minerva among the Macedonians
Alcis2	deity of the Naharvali
Alcisthene	Greek female painter
Alcithoe	one of the daughters of Minyas in Thebes
Alcmaeo1	son of Amphiaraus and Eriphyle
Alcmaeo2	Pythagorean philosopher of Croton
Alcmanium	kind of verse named after the Greek poet Alcman
Alcmena	daughter of Electryon, wife of Amphitryo
Alcyone	daughter of Aeolus
Alecto	name of one of the three furies
Aleius	of or pertaining to Ale in Lycia
Alemanni	German tribes
Alemon	Greek
Alemona	tutelar goddess of the foetus
Alemonides	son of Alemon
Aleria	oldest town of the island Corsica
Alesia	city of the Mandubii in Celtic Gaul
Alethia	one of the Aeons of Valentinus
Aletinus	inhabitant of the town Aletium
Aletrium	town in Latium, now Alatri
Aleuas	tyrant of Larissa
Aleus2	Alean or Alic Minerva, so called either from Aleus
Alexamenus	leader of the Aetolians
Alexander	name of many persons of antiquity
Alexandrea	Alexandria, Mull.)
Algidensis	growing upon Mount Algidus
Algidus2	high snow-capped mountain
Alidensis	of or pertaining to Alida or Alinda
Aliphera	town in Arcadia
Alis2	town in Achaia
Alisales	tribe of Spain
Aliso	fortress built by Drusus near the present Wesel
Alisontia	tributary of the Moselle, now the Eltz
Alius1	Elian
Allia	little river eleven miles northwards from Rome, near Crustumerium
Allifae	town of Samnium, in a pleasant valley
Allobrox	Allobroges, in Ptol
Almo	small stream, almost entirely dry in summer
Aloeus	name of a giant, father of Otus and Ephialtes
Aloidae	sons of Aloeus
Alone	island between Teos and Lebedus
Aloni	people of Mesopotamia
Alope	Daughter of Cercyon
Alpes	High mountains
Alpheias	nymph and fountain Arethusa
Alphesiboea	daughter of the Arcadian king Phegeus
Alpheus	chief river in the Peloponnesus, now Rufia
Alpicus	Alpine
Alpinus	of or pertaining to the Alps, Alpine
Alsiensis	of or pertaining to the city of Alsium
Alsius2	belonging to the maritime city Alsium, in Etruria
Altellus	surname of Romulus, Paul. ex
Althaea2	daughter of Thestius, wife of Oeneus, king of Calydon
Altinum	town in the north of Italy, near Venice
Aluntium	town in the northern part of Sicily
Alyattes	king of Lydia, father of Croesus
Alymon	father of Iphimedia
Alyzia	small town in Acarnania with a temple dedicated to Hercules
Amalthea	nymph, daughter of Melissus, king of Crete
Amanienses	inhabitants of the mountain Amanus
Amantia	name of two towns of Illyricum, one inland
Amanus	mountain range, running from N.E. to S. W.
Amaryllis	name of a shepherdess
Amarynthis	epithet of Diana
Amarynthus	village of Euboea, with a temple of Diana
Amasenus	small river in Latium, eastward from the Pontine Marshes
Amasia	town in Pontus, on the river Iris
Amasis	king of Egypt
Amastris	town in Paphlagonia
Amata	wife of King Latinus
Amathus	town in the southern part of Cyprus
Amazon	warlike women
Ambiorix	chief of the Eburones in Gallia Belgica
Ambitui	people in Galatia
Ambivareti	people of Gallia Celtica
Ambivariti	people of Gallia Belgica, near the Meuse
Ambivius	very distinguished actor in the time of Terence
Ambracia	town in the south of Epirus
Ambrosie	Ambrosia, daughter of Attas and Pleione
Ambrosius2	celebrated Church father of the fourth century
Ambrysus	small town in Phocis, now Dhistomo
Amelas	town in Lycia
Amenanus	river in Sicily, at the southern declivity of Aetna
Ameria	very ancient town in Umbria
Amestratus	town on the north coast of Sicily
Aminaeus	of or pertaining to Aminoea
Amisia	river in Germany, now the Ems
Amisus	town in Pontus, now Samsoon
Amiternum	very ancient town built by the Aborigines
Amitinum	town in Latium
Ammianus	Latin historian of the 4th century
Ammon	name of Jupiler
Amnon	river in Arabia Felix
Amoebeus	distinguished Athenian harp-player
Amorgus	one of the Sporades in the Aegean Sea
Ampelos2	city of Macedonia
Ampelos3	beautiful youth, loved by Bacchus
Amphiaraus	distinguished Grecian seer, father of Alcmoeon and Amphilochus
Amphictyones	political and religious assembly of the confederated Greek States
Amphidamas	one of the Argonauts, son of Aleus, from Arcadia
Amphilochia	small province in Acarnania
Amphilochus	Son of Amphiaraus, founder of Argos Amphilochium, in Epirus
Amphimedon	Libyan who, while fighting for Cepheus against Perseus
Amphinomus	youth of Catana who, with his brother Anapis
Amphion	son of Antiope by Jupiter, king of Thebes
Amphipolis	distinguished city in Macedonia, now Neokhorio
Amphissa	ancient chieftown in Locri Ozoloe, near Phocis, now Salona
Amphissus	son of Apollo and Dryope
Amphitrite	wife of Neptune
Amphitryo	Son of Alceus and Hipponome, king of Thebes
Amphrysus	small river in the Thessalian province of Phthiotis
Ampsanctus	lake in Italy, highly dangerous from its pestiferous exhalations
Ampycides	son of Ampycus
Ampycus	priest of Ceres
Ampyx	One of the Lapithoe
Amulius	son of Procas, king in Alba
Amyclae	town in Laconia, in a beautiful, fertile region
Amyclides	male descendant of Amyclas, the builder of Amycloe
Amycus	Son of Neptune, king of the Bebrycians
Amymone	Daughter of Danaus
Amyntas	father of the Macedonian king Philip
Amyntor	king of the Dolopians
Amythaon	Greek, the father of Melampus
Anaces	epithet of the Dioscuri
Anacharsis	distinguished Scythian philosopher in the time of Solon
Anacreon	distinguished lyric poet of Teos
Anadyomene	epithet of Venus emerging from the sea
Anagnia	town in Latium, the chief seat of the Hernici
Anaitis	Armenian goddess
Anapauomene	painting of the Theban Aristides
Anapauomenos	painting of Protogenes
Anaphe	island that rose of itself
Anapis	Brother of Amphinomus
Anartes	people in Transylvania, on the Theis
Anas3	river in Spain, now Guadiana
Anassum	small river in the Venetian territory, now Stella
Anaurus	river in Thessaly
Anaxagoras	distinguished Greek philosopher of Clazomenoe
Anaxarchus	philosopher of Abdera
Anaxarete	rich and beautiful maiden of Cyprus
Anaximander	distinguished Ionian philosopher of Miletus
Ancaeus	Arcadian
Ancalites	people in Britain, otherwise unknown
Ancharius	Roman family name
Anchises	Son of Capys, father of Aeneas
Ancon2	headland and bay, as the name implies
Ancon3	ancient seaport town in the north of Picenum
Ancus2	servant, as bending, crouching
Ancyra	town in Galatia, now Angora
Andania	very ancient town of Messenia, now Andorossa
Andes1	Gallic tribe in the region of the present Anjou
Andes2	village near Mantua, the birthplace of Vergil, now Pietola
Andraemon	father of Amphissus and husband of Dryope
Andricus	servant of Cicero
Andriscus	slave who claimed to be the son
Andrius	born at Andros, one of the Cyclades
Androcles	well-known slave who cured the foot of a lion
Androgeon	pertaining to Androgeon
Androgeos	son of the Cretan king Minos
Andromache	daughter of king Eetion
Andromeda	daughter of the Ethiopian king Cepheus and Cassiope
Andronicus	cognomen of several Romans, among whom the most distinguished
Andros	one of the largest of the Cyclades
Anemurium	promontory and town of Cilicia, now Anemur
Angaris	mountain in Palestine
Angea	town in Thessaly
Angerona	goddess of Suffering and Silence
Angitia	sister of Medea and Circe
Angli	branch of the Suevi in Lower Germany
Angrivarii	German tribe in the neighborhood of the Teutoburg Forest
Anhydros2	island in the Aegean Sea
Anicianus	pertaining to Anicius, named from him, Anician
Anidus	mountain in Liguria
Anienicola	dweller near the Anio
Aniensis	of or pertaining to the Anio
Anienus2	of or pertaining to the Anio
Anigros	little river in Elis, rising on Mount Lapithus
Anio	classic tributary stream of the Tiber
Anius	king and priest at Delos
Anna	sister of Dido
Anna Perenna	old Italian goddess
Annianus	Of or pertaining to Annius or Annia
Annicerii	philosophical sect of Cyrene
Annius	Roman family name
Anser2	petulant and obscene
Ansibarii	Cheruscan tribe on the western shore of the Weser
Antaeopolites	district of Upper Aegypt
Antaeus	huge giant in Libya
Antandros	maritime town in Mysia, now Antandro
Antarados	harbor and town in the northern part of Phoenicia
Antecanis	constellation, the Lesser Dog-star
Antelii	images of gods that stood before the house door
Antemnae	very ancient town of the Sabines
Antenor	noble Trojan
Anteros	avenger of slighted love
Antevorta	name of a goddess who reminds men of things past
Anthedon2	town and harbor in Boeotia, opposite the island Euboea
Anthemus	region in Macedonia
Anthemusa	old name of the island of Samos
Anthemusia	town in Macedonia
Anthrax2	name of a slave
Anticato	title of Coesar's reply to Cicero's panegyric of Cato Uticensis
Antichristus	Antichrist
Anticlea	mother of Ulysses
Anticyra	town in Phocis, on a peninsula
Antignotus	artist that cast statues
Antigone	daughter of the Theban king Oedipus
Antigonea	name of several towns
Antigonus	name of several kings after Alexander the Great
Antilibanus	mountain range in Phoenicia, opposite to Libanus
Antilochus	son of Nestor
Antimachus	Greek poet of Colophon
Antiochea	Antioch
Antiochensis1	of or belonging to Antiochia
Antiochensis2	of or belonging to King Antiochus
Antiochenus1	of or belonging to Antiochia
Antiochenus2	of or belonging to King Antiochus
Antiocheus	of or pertaining to the philosopher Antiochus
Antiochinus	Of King Antiochus Magnus
Antiochus	name of several Syrian kings
Antiopa	daughter of Nycteus, wife of Lycus, king of Thebes
Antipater	One of the generals and successors of Alexander the Great
Antipatria	town in Macedonia, on the borders of Illyria
Antiphates	king of the Loestrygones
Antiphon	renowned sophist of Rhamnus, a contemporary of Socrates
Antipolis	city in Gaul, now Antibes
Antissa	town in the southern part of the island of Lesbos
Antisthenes	pupil of Socrates, teacher of Diogenes
Antium	ancient town in Latium distinguished for the temple of Fortune
Antius	Roman family name
Antodice	one of the Danaids
Antoniaster	servile imitator of the orator Antonius, a petty Antony
Antoninus	Antonine, the name of several Roman emperors
Antoniopolitae	inhabitants of Antoniopolis in Lydia
Antonius	Roman family name
Antron	town in Thessaly
Anubis	Egyptian deity which was represented with the head
Anxur	ancient town in Latium
Anytus	one of the accusers of Socrates
Aoede	one of the first four Muses
Aones	Boeotian
Aonia	part of Boeotia, in which are the Aonian mountains
Aornos	Lake of Avernus in Campania, now Averno
Aous	river of Illyria which falls into the Ionian Sea
Apamea	One of the most distinguished towns in Coele-Syria
Apaturius	scene-painter of Allabanda
Apaturos	place on the Cimmerian Bosporus
Apella	name of a Roman freedman
Apelles	distinguished Greek painter in the time of Alexander the Great
Apenninicola	dweller among the Apennines
Apenninigena	born upon the Apennines, originating there
Apenninus	mountainchain that passes through the length of Italy
Aper2	Roman surname
Aperantia	small province in Thessaly, south of the Dolopians
Aperta	surname of Apollo
Aphaea	epithet of Britomartis
Aphareus	king of the Messenians
Aphesas	mountain in Peloponnesus, near Nemea, now Fouka
Aphidnae	small place in Attica
Aphrodisia	festival of Venus
Aphrodisias1	region in Asiatic Aeolis
Aphrodisium	town on the coast of Latium
Apia	old name of the Peloponnesus
Apicius2	notorious epicure under Augustus and Tiberius
Apidanus	river in Thessaly
Apina	poor and small town in Apulia
Apis2	ox worshipped as a god by the Egyptians, Apis
Apis3	harbor in Lake Moeotis
Apodoti	people in Aetolia
Apollinar	temple dedicated to Apollo
Apollinaris	belonging or sacred to Apollo, of Apollo
Apollineus	relating or belonging to Apollo
Apollo	son of Jupiter and Latona, twinbrother of Diana
Apollodorus	distinguished rhetorician, teacher of Augustus
Apollonia	name of several celebrated towns
Apollonidenses	inhabitants of Apollonis in Lydia
Apollonides	ruler of Chios in the time of Alexander the Great
Apollonius	distinguished rhetorician in Rhodes
Apologeticus	Apology
Aponus	warm, medicinal fountain in the vicinity of Padua
Apoxyomenos	name of a statue by Lysippus
Appianus1	pertaining to Appia
Appianus2	of or pertaining to Appius
Appianus3	Appian, of a castle in Rhaetia
Appias	epithet of the nympi at the fountain of Aqua Appia
Appietas	ancient nobility of the Appian family
Appiolae	city of Latium, probably near Bovilloe
Appius	Roman proenomen
Appuleius	name of several Romans
Appulia	province in Lower Italy, at the north of Calabria
Aprilis	month of April
Apronius	Roman family name
Aprusa	river in Umbria near Ariminum
Apsoros	island in the Adriatic Sea
Apsus	river of Illyria, falling into the Ionian Sea
Apus2	name of a town and river in Dacia
Aquensis	of or belonging to Aquoe
Aquicaldenses	people in Spain
Aquila2	Roman proper name
Aquilaria	town of Zeugitana, now prob
Aquileia	town in Upper Italy, still called Aquileia
Aquilianus	Aquilian, proceeding from the jurist Aquilius
Aquilius	Roman family name
Aquilonia	town of the Hirpini, upon the river Aufidus
Aquilonigena	born in the north, of northern extraction
Aquinius	inferior poet, friend of Cicero
Aquinum	town in Latium, not far from Casinum, now Aquino
Aquitania	province in Southern Gaul
Arabia	country Arabia, divided by the ancients into Petroea
Arabius	Arabian
Arabs	proceeding from Arabia, Arabian
Arabus1	Arabian, Lucil. ap
Arabus2	river in Gedrosia, now Korkes
Arabus3	son of Apollo and Babylon
Arachne	Lydian maiden
Arachosia	province of the Persian kingdom
Aracia2	island in the Persian Gulf, now Karek
Aracynthus	mountain in Aetolia
Aradius	of or belonging to Aradus
Arar	river in Celtic Gaul, now the Saone
Ararauceles	people in Cyrenaica in Africa
Arateus	of or belonging to the Greek poet Aratus, Aratean
Aratus2	Greek poet of Soli, in Cilicia
Arauris	river in Gallia Narbonensis now Herault
Arausio	town in Gallia Narbonensis, now Orange
Araxes	river in Armenia Major, now Aras
Arbaces	first king of Media
Arbela	town in Adiabene, a province of Assyria, now Arbil
Arbis1	town in Gedrosia, on the river Arbis
Arbis2	river rising in Carmania, running through Gedrosia
Arbocala	town in Hispania Tarraconensis
Arbor2	town and castle in Rhoetia, now Arbon, Tab
Arbuscula2	name of a mimic actress in the time of Cicero
Arcadia1	mountainous province in the centre of the Peloponnesus
Arcadia2	town in Crete
Arcae	Volscian town between Arpinum and Fabrateria, now Arce
Arcanus2	of or pertaining to Arcoe hence
Arcas	Son of Jupiter and Callisto
Arcesius	son of Jupiter, father of Laertes
Archaeopolis	town in Lydia
Archelaus	philosopher of Miletus, pupil of Anaxagoras
Archias	Greek poet of Antiochia
Archilochus	Greek poet of Paros
Archimedes	celebrated mathematician of Syracuse
Architis	name of Venus among the Assyrians
Archytas	Pythagorean philosopher of Tarentum
Arcipotens	skilful with the bow, a skilful archer
Arcitenens	carrying a bow, bow-bearing, in imitation
Arctophylax	Bear-keeper, a constellation
Arculus	god of chests, coffers, Paul. ex
Ardea2	capital of the Rutuli, six leagues south of Rome
Arduenna	forest-covered mountains in Gaul, now Ardennes
Areatae	Sarmatian tribe
Arectaeus	Babylonian
Arelas	town in Southern Gaul
Arenacum	town in Gallia Belgica, now Aerth or Arth
Areopagites	member of the court of the Areopagus at Athens
Areopagus	Mars' Hill at Athens, on which the Areopagus
Ares	war-god Mars
Arestorides	son of Arestor
Arete	wife of Alcinous, king of the Phoeacians
Arethon	river in Epirus
Arethusa	celebrated fountain near Syracuse
Aretinus	of or pertaining to the town Aretium
Aretium	large town in Etruria, now Arezzo
Areus	pertaining to Mars
Arganthonius	Tartessian king who lived to a great age
Arganthus	mountain in Mysia, near Bithynia
Argei	part of the city of Rome
Argentanum	town of the Bruttii
Argentarius2	promontory on the coast of Etruria, now Monte Argentaro
Argenteus2	standing epithet of a river in Gallia Narbonensis
Argentia	place in upper Italy, between Milan and Bergamo, Itin
Argentiexterebronides	word formed by Plautus in jest
Argentinus	god of silver money
Argentoratus	name of a city, now Strasburg in Alsace
Argestes2	son of Astroeus and Aurora
Argia	Daughter of Adrastus
Argiletum	part of Rome, in the Vicus Tuscus
Arginusae	three small islands in the Aegean Sea, near Lesbos
Argiphontes	Argus-slayer, an epithet of Mercury
Argithea	town in Athamania, now Knisovo
Argo	name of the ship in which the Greek heroes
Argonautae	Argonauts
Argos	capital of Argolis, in the Peloponnesus, sacred to Juno
Argus	hundred-eyed keeper of Io
Argynnus	boy from Boeotia, loved by Agamemnon
Argyrippa	town in Apulia, afterwards called Arpi, now Arpa
Argyrippus	name of a man
Aria1	Persian province between Hyrcania, Gedrosia
Aria2	island in the Pontus Euxinus
Ariadna	daughter of Minos, king of Crete
Ariana	general name of the eastern provinces
Aricia	ancient town of Latium
Aridaeus	natural son of Philip of Macedon by the dancer Philinna
Arimaspi	Scythian people in the north of Europe
Ariminum	town in Umbria, on the shore of the Adriatic
Ariobarzanes	king of Cappadocia
Arion	celebrated cithara player of Methymna, in Lesbos
Ariovistus	king of a German tribe in the time of Coesar
Aris2	Sardinian
Arisba	town in Troas
Aristaeus	son of Apollo and Cyrene
Aristarchus	distinguisled critic of Alexandria
Aristides	Athenian renowned for his integrity
Aristippus	philosopher of Cyrene, disciple of Socrates
Aristius	Roman family name
Aristo	philosopher of Chios, a pupil of Zeno
Aristonicus	son of Eumenes II., king of Pergamus
Aristophanes	most distinguished comic poet of Greece, from Lindus
Aristoxenus	philosopher and musician, pupil of Aristotle
Arius1	river in Aria, now Heri
Arius2	renowned heretic
Ariusius	wine of the region of Ariusia
Armenia	country of Asia, divided into Armenia Major
Armilustrium	Roman festival of the consecration of arms
Armilustrum	place in Rome
Arminius	distinguished Cheruscan prince
