# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Cherub	name of a rank of angels mentioned
Cherusci	German people on the south side of the Hartz Mountains
Chesippus	contemptuous name given by Zeno to Chrysippus
Chilius	Greek
Chilo1	cognomen, signifying having large lips
Chilo2	Lacedoemonian, one of the seven wise men
Chimaera	fabulous monster in Lycia
Chimaerifer	that produced the Chimoera
Chione	daughter of Doedation, mother of Autolycus by Mercury
Chios	island in the Aegean Sea
Chirocmeta	made by the hand)
Chiron	one of the Centaurs
Chirurgumena	Surgical Operations, title of a book
Chloe	Greek female name
Chloris	goddess of flowers
Chlorus	river of Cilicia
Choaspes	river in Susiana, distinguished for its pure water
Choatrae	people of Lake Moeotis
Choatras	mountain in Media
Choatres	river of Parthia, now the Adschi-Su
Choerilus	wretched Greek poet
Chora	district of Lower Egypt, near Alexandria
Chordus2	Roman surname
Chorographia	description of countries, geography
Chremes	name of an old miser in the Andria, Heaut
Chrestologus	nickname of the emperor Pertinax, Capit
Christianismus	Christianity
Christianitas	Christianity
Christianizo	to profess Christianity
Christianus	Christian
Christicola	worshipper of Christ
Christigena	of the lineage of Christ
Christipotens	strong in Christ
Christus	Christ
Chrysa	town on the coast of Troas sacred to Apollo
Chrysas	river of Sicily, now Dittaino
Chryses	priest of Apollo, from Chryse, in Troas
Chrysippus	One of the most distinguished of the Stoic philosophers
Chrysis	comic person in Terence and Trabea
Chrysogonus	freedman of Sylla.—
Chrysorrhoas	name of several rivers in Coelesyria, in Lydia
Chthonius	Centaur
Ciani	inhabitants of Cios, a town in Bithynia
Cibyra	town in Magna Phrygia, on the borders of Caria
Cicero	Roman surname in the gens Tullia
Ciceromastix	scourge of Cicero, a word formed
Cicirrus	nickname
Cicones	Thracian people near the Hebrus
Cicurius	cognomen in the Veturian gens [a cicure]
Cicuta2	name of a usurer
Cilicia	province in the southern part of Asia Minor
Cilla	town in Troas, distinguished for the worship of Apollo
Cilnius	designation of a very distinguished Etruscan gens
Cilo2	Roman surname
Cimbri	people of Northern Germany
Cimetra	town of Samnium
Ciminus	lake in Etruria, near Sutrium, now Lago di Vico
Cimolus	island of the Cyclades, distinguished for its chalky soil
Cimon	Father of Miltiades
Cinara2	Greek proper name
Cincinnatus2	cognomen of the renowned L. Qumctius
Cinciolus	pet name for Cincius
Cincius	Roman family name
Cineas	friend of king Pyrrhus of Epirus
Cinga	small river in Hispania Tarraconensis
Cingetorix	Gaul, rival of his father-in-law Indutiomarus
Cingilia	town of the Vestini on the Adriatic Sea
Cingulum2	small town in Picenum, now Cingulo
Cinithii	people of Africa
Cinium	town of the island of Majorca, now Sinau
Cinna	family name of the gentes Cornelia and Helvia
Cinxia	appellation of Juno, as tutelary goddess of marriage, because
Cinyps	river flowing through a very fruitful region in Libya
Cinyras	king in Assyria, afterwards in Cyprus
Cios	river in Bithynia
Cipus	fabled Roman proetor, upon whose head horns grew suddenly
Circaeus	pertaining to Circe
Circe	N. cr
Circeii	town of Circeii
Circumcellio	class of monks
Cirrha	very ancient town in Phocis, near Delphi
Cirta	important town in Numidia, now Constantine
Cisalpinus	lying on this side of the Alps, Cisalpine
Cispius1	Roman gentile name
Cispius2	one of the peaks of the Mons Esquilinus
Cisrhenanus	situate on this side of the Rhine
Cisseus	king of Thrace
Cissis	town in Hispania Tarraconensis
Cistellaria	title of a comedy of Plautus
Cisthena	town of Aeolis
Cistiberis	on this side of the Tiber
Cithaeron	mountain of Boeotia, now Elatia
Citium	seaport town in Cyprus, now Khiti
Citius	mountain in Macedonia
Civilis2	proper name
Claeon	fountain in Phrygia
Clampetia	town of the Bruttii, now Amantea
Clanis	companion of Phineus
Clanius	river in Campania
Claritas2	name given to the town Attuli, in Hispania Baetica
Claros	small town in Ionia, near Colophon
Clastidium	fortress in Gallia Cisalpina, near the Padus, now Chiasteggio
Claterna	fortress in Gallia Cisalpina, near Bononia
Claudia	Roman female name
Claudialis	pertaining to the emperor Claudius, Claudian
Claudianus2	Roman poet of Alexandria
Claudiopolis	town in Southern Cappadocia, now Eraklia
Claudius	name of two very celebrated Roman gentes
Clausala	river of Illyria, now the Khiri or Drinossi
Clausus2	Sabine proper name
Clazomenae	town on the coast of Ionia
Cleander	favorite of the emperor Commodus
Cleanthes	Stoic philosopher of Assos
Clearchus	Spartan captain
Clemens2	proper name, in later Lat. very freq
Cleobis	son of the priesless Cydippe, brother of Bito
Cleobulus	of Lindus, one of the Seven Sages
Cleombrotus	Lacedoemonian general
Cleon	Grecian proper name
Cleonae	small town in Argolis, near Nemea
Cleopatra	Queen of Egypt
Cleophantus	physician in Rome
Cleophon	demagogue of Athens
Clerumenoe	name of a comedy of Diphilus
Cliduchus	name of two statues by Phidias and by Euphranor
Climax Megale	narrow pass between Media and Asia Minor
Clinia	name of a young man in the Heautontimorumenos of Terence
Clinias	father of Alcibiades
Clio	Muse of history
Clisthenes	statesman and orator of Athens
Clitae1	town of Macedonia
Clitae2	tribe on the coast of Cilicia Trachea
Clitarchus	companion of Alexander the Great
Cliternini	inhabitants of the town Cliternum
Clitomachus	Academic philosopher of Carthage
Clitor	town in Arcadia
Clitumnus	small river in Umbria, celebrated in ancient times
Clitus	friend of Alexander the Great
Cloanthus	companion of Aeneas
Cloelius	Roman family name
Clonius	name of two companions of Aeneas
Clonus	celebrated designer
Closter	son of Arachne, inventor of the spindle
Clotho	spinner, among the three Parcoe
Cluacina	purifier
Cluentius	Roman family name
Cluilius	king of Alba
Clupeae	town and promontory in Africa propria
Clusium	one of the oldest and most important towns of Etruria
Clusius	cognomen of Janus
Clutomestoridysarchides	comically formed name
Cluvia	town of Samnium
Cluvius	Roman family name
Clymene	wife of the Ethiopian king Merops
Clymenus	cognomen of Pluto
Clytaemnestra	daughter of Tyndarus and Leda
Clytidae	family of haruspices at Elis
Clytie	one of the daughters of Oceanus
Clytius	name of several heroes mentioned
Clytus	Son of Aegyptus
Coa2	fictitious nickname of Clodia [from coeo
Cobiamachus	village in Gallia Narbonensis, between Tolosa and Narbo
Cocalus	mythic king in Sicily
Cocceius	name of an Italic gens
Cocles2	cognomen of a Roman, Horatius Cocles
Cocosates	tribe in Aquitania
Cocytus	mythic river in the Lower World
Codeta	place in which grew plants resembling the tails of horses
Codomannus	cognomen of the last Persian king Darius
Codrio	town in Greek Illyria
Codrus	last Athenian king
Coela	deeply-indented maritime region in Euboea
Coele Syria	Hollow Syria), Coelesyria, between Libanus and Antilibanus
Coeranus	Greek Stoic philosopher
Coeus	Titan, father of Latona
Coinquenda	goddess who presided over the felling of trees
Colax	title of comedies of Menander, Noevius
Colchis	province in Asia, east of the Black Sea
Collabus	comic name
Collatia	ancient town of the Sabines
Collina2	goddess of hills
Colminiana	unknown kind of olive-tree
Colocasitis	island near the coast of Africa
Colonae	town in Troas, now prob
Coloneus	of or pertaining to the Attic demos Colonos
Colonia2	name given to several colonial or provincial cities
Colophon1	one of the twelve Ionian towns in Lydia
Colossae	city of Phrygia on the Lycus, now Khonas
Colosseros	appellation of a large and beautiful man
Colotes2	Epicurean philosopher of Lampsacus
Columella2	Roman surname in the gens Junia
Comana	town in Cappadocia, on the Sarus, now El Bostan
Combe	mother of the Curetes
Come2	town in Caria
Cometes2	Greek proper name
Cominium	town of Samnium
Cominius1	Roman proper name
Commagene	northern province of Syria
Commodus2	Roman surname
Commolenda	goddess who presided over the felling of trees struck
Commoris	fortress in Cilicia, near Mount Amanus
Complutum	town of the Carpetani in Hispania Tarraconensis
Compsa	town of the Hirpini in Samnium, now Conza
Compulteria	little town in Samnium
Comum	considerable town in Gallia Transpadana
Concani	savage people of Cantabria in Hispania Tarraconensis
Concordialis2	priest of Concordia
Condate	town of Aquitania, now Condat
Condrusi	people in Gallia Belgica
Congedus	river in Spain, tributary to the Iberus
Congrio	name of a cook
Connus	Greek lute-player
Conon	renowned general of the Athenians
Consabrum	town of Hispania Tarraconensis, south of Toletum, now Consuegra
Consentia2	capital of the Bruttii, now Cosenza
Consilinas	of Consilinum
Consilinum	fortified town in Bruttium
Consiva	she who sows or plants, an epithet of Ops
Consivius	he who sows or plants, an epithet of Janus
Constans2	Roman proper name
Constantia2	Roman proper name
Constantina	daughter of Constantine the Great
Constantinopolis	city Constantinople, previously called Byzantium
Constantinus	Constantine, a well-known Roman emperor
Constantius	name of a Roman emperor who reigned
Consus	very ancient deity of Italy
Conterebromius	Libya
Contrebia	fortified town in Hispania Tarraconensis
Copae	ancient town in Boeotia, now Topolia
Cophes	river, a tributary of the Indus
Copia2	goddess of abundance
Coponius	name of a plebeian family at Rome
Coptos	trading town in the Thebaid
Cora2	name of Proserpine
Cora3	ancient town of Latium
Coralli	people of Lower Moesia, on the Danube
Corax2	most ancient Greek rhetorician in Sicily, a contemporary
Corax3	mountain in Aetolia
Corbio	Masc., a Roman surname
Corculum	little heart
Corcyra	island in the Ionian Sea, opposite Epirus
Corduba	town in Hispania Baetica, on the river Baetis
Corduena	district of Greater Armenia, now Kurdistan
Corfidius	Roman proper name
Corfinium	very strongly fortified town of the Peligni
Coria	name of the fourth Minerva, among the Arcadians
Corinna	celebrated Greek poetess of Tanagra, contemporary with Pindar
Corinthus	Corinth, a celebrated commercial city in the Peloponnesus
Corioli	town in Latium, destroyed by Caius Marcius
Corippus	Latin grammarian and poet
Cormasa	town in Pisidia
Cornelius	designation
Cornicen2	surname of several persons in the gens Oppia
Cornicularia	lost play of Plautus
Corniculum2	ancient town in Latium
Cornificius	name of a Roman plebeian gens
Cornus3	city on the western coast of Sardinia
Cornutus2	Roman surname
Coroebus	son of Mygdon of Phrygia
Coronae	name of the two daughters of the Theban Orion
Corone	city on the west coast of the Messenian bay
Coronea	town in Boeotia, west of Lake Copais
Coroneus	king in Phocis, father of Corone
Coronis2	daughter of the Thessalian Phlegyas
Corrhagon	fortress in Macedonia
Corsica	island Corsica, in the Mediterranean Sea
Cortinipotens	powerful on the tripod, an epithet of Apollo
Cortona	very ancient town in Etruria, northwest of Lake Trasimenus
Cortuosa	town of Etruria
Cortynia	town of Crete
Coruncanius	name of a Roman plebeian gens
Corybas	priests of Cybele
Corycius	Corycian
Corycus2	promontory in Cilicia
Corydon	Greek proper name
Corylenus	city of Aeolis
Corymbifer	bearing clusters of ivy-berries, an epithet of Bacchus
Corynaeus	name of two Trojans, companions of Aeneas
Coryphasia	title of Minerva
Coryphe	daughter of Oceanus, mother of the fourth Minerva
Corythus	ancient town in Etruria
Cos2	one of the Sporadic Islands in the Myrtoan Sea
Cosa	ancient town in Etruria, not far from the coast
Cosconius	name of a Roman plebeian gens
Cosmoe	high council of the Cretans
Cosmus	celebrated maker
Cossinius	Roman gentile name
Cossus2	surname in the gens Cornelia
Cossutianae	place near Caesena in Gallia Cispadana, Q. Cic. ap
Cossutianus	Roman proper name
Cossutius	Roman family name
Cosyra	small island between Sicily and Africa, now Pantellaria
Cothon	name given to any artificial harbor, Paul. ex
Cotiso	king of the Getae
Cottius	name of two kings of northern Italy, the father
Cotton	town of Aeolis, in Asia Minor
Cotyla2	Roman surname
Cotys	name of several Thracian princes
Cotytto	goddess of lewdness
Crabra	aqueduct or water conduit that extended from Tusculum
Cragos	promontory and chain of mountains in Lycia
Cranii	inhabitants of a town on the island of Cephallenia
Cranon	town of Thessaly, in the Vale of Tempe
Crantor	armor-bearer of Peleus
Crassicius	grammarian of Rome
Crassipes	surname of the gens Furia
Crassus2	family name in the gens Licinia
Crastinus2	Roman surname
Crataeis	mother of Scylla
Craterus	general of Alexander the Great
Crates1	Greek proper name
Crathis	river in Magna Graecia
Cratinus	celebrated Grecian comic poet of the old comedy
Cratippus	distinguished peripatetic philosopher at Athens
Cremera	small river in Etruria, near Veii
Cremona	town Cremona in Gallia Cisalpina, on the Po
Cremonis jugum	part of the Pennine Alps, now Grimsel
Cremutius	Roman proper name
Crenaeus	centaur
Crene	town of Aeolis
Creo2	king of Corinth
Creta1	Crete, an island in the Mediterranean Sea
Creusa	daughter of king Creon, of Corinth, married to Jason
Crimisus	river on the south-west coast of Sicily
Crisa	ancient town of Phocis, on the sea, now Crisso
Crispinus	Roman surname
Crispus2	Roman surname
Crista2	Roman surname
Crithote	town in Chersonesus Thracia
Critias	one of the thirty tyrants at Athens
Crito	rich citizen of Athens
Critobulus	Greek proper name
Critognatus	chief of the Arverni
Critolaus	peripatetic philosopher
Criumetopon	promontory at the southern extremity of the Tauric Chersonesus
Crocale	companion of Diana
Crodunum	place in Gallia Narbonensis, now Gourdan
Croesus	king of Lydia, celebrated for his riches
Crommyuacris	most northern point of Cyprus, Cass. ap
Cromyon	village in Megaris, afterwards belonging to Corinth
Cronia	festival of Saturn, celebrated in Greece
Cronos	god of time
Croto	town founded by the Achaians
Crotopiades	Linus
Crotos	constellation, the Archer
Crucisalus	name facetiously formed in imitation of Chrysalus
Cruricrepida	Rattle-shin, the feigned name of a slave
Crustumeria	ancient town in the country of the Sabines
Cryphiolathronia	name of an imaginary country
Ctesias	famous physician of Cnidus in Caria
Ctesibius	mechanic of Alexandria, distinguished for his inventions in hydraulics
Ctesiphon1	Athenian defended by Demosthenes
Ctesiphon2	town in Assyria, residence of the Parthian kings
Cuba	goddess who protects the lying down of children
Cuballa	town in Gallograecia
Cularo	town in Gallia Narbonensis, afterwards Gratianopolis, now Grenoble
Cumae	ancient colony of the Chalcidians, in Campania
Cunctator2	surname of the dictator Q. Fabius Maximus
Cuneus2	promontory in Lusitania, now Cabo St. Maria
Cunina	goddess who protects children in the cradle, Varr. ap
Cupavo	Ligurian
Cupencus	priest of the Sabines
Cupiennius	Roman proper name
Cupra	name of two cities in Picenum
Cures	ancient chief town of the Sabines
Curetes	most ancient inhabitants of the island of Crete
Curiatii	Albanian gens, subsequently transplanted to Rome
Curiatius	Roman proper name
Curidius	Roman proper name
Curietae	inhabitants of Curieta
Curio2	surname in the gens Scribonia
Curiosolites	Gallic tribe in Armorica
Curius2	Roman family name
Cursor2	surname of L. Papirius
Curtilius	Roman proper name
Curtius	Roman family name
Cusinius	Roman proper name
Cuspius	Roman proper name
Cusus	small river in Germania, now prob. the Waag
Cutilia	ancient city in the Sabine land
Cutina	city of the Vestini
Cyane	fountain near Syracuse
Cyanee	nymph, daughter of Maeander
Cybele	goddess, originally Phrygian
Cybiosactes	dealer in salt fish
Cybistra	town of Cappadocia
Cyclops	Cyclops Polyphemus
Cycneius	of or pertaining to the Boeotian Cycnus
Cycnus2	king of the Ligurians, son of Sthenelus
Cydippe	mistress of Acontius
Cydnos	river in Cilicia
Cydonia	ancient and celebrated town on the north coast of Crete
Cyllaros	Centaur
Cyllene	high mountain in the north-eastern part of Arcadia
Cylonius	pertaining to Cylon, the well-known Athenian
Cyme1	town of Aeolis, near the mod
Cymine	town in Thessaly
Cymodoce	Nereid
Cymothoe	Nereid
Cynaegirus	Athenian
Cynamolgi	wild tribe of Ethiopia
Cynapes	river which empties into the Euxine
Cynegetica	Cynegetics
Cynice2	Cynic sect
Cynicus	Subst., a Cynic philosopher, a Cynic
Cynos1	harbor of Locris
Cynosarges	gymnasium near Athens sacred to Hercules
Cynoscephalae	name of two hills near Scotussa in Thessaly
Cynossema	promontory of the Thracian Chersonese where Hecuba was buried
Cynosura1	constellation at the north pole, the Cynosura
Cynosurae	promontory in Attica, west of Marathon, now Schoinia
Cynthus	mountain of Delos
Cyparissa	town in Messenia, now Arkadhia
Cypassis	mistress of the poet Ovid
Cyprianus	Cyprian, a celebrated Church father of the third century
Cypriarches	prefect of Cyprus
Cyprius Vicus	street in Rome
Cyprus1	island in the Mediterranean Sea
Cypsela	town in Thrace, on the Hebrus, now Ipsala
Cypselus2	tyrant at Corinth
Cyras	mountain in Africa
Cyrene1	chief town of a province of the same name
Cyrene2	nymph, mother of Aristaeus
Cyretiae	town of Thessaly
Cyrnos	island Corsica
Cyropolis	town in Sogdiana
Cyrrhestica	province of Syria, called after its town Cyrrhus
Cyrrhus	town in Syria
Cyrsilus	Athenian
Cyrtaei	Median tribe, celebrated as slingers
Cyrus	founder of the Persian monarchy
Cyssus	town and harbor in Ionia
Cytae	town in Colchis, the birthplace of Medea
Cythera	island in the Aegean Sea
Cytheris	mistress of Antonius
Cythnos	one of the Cyclades, now Thermia
Cytis1	island at the entrance of the Arabian Gulf
Cytisorus	son of Phrixus
Cytorus	mountain abounding in boxwood
Cyzicos1	king of the Dolones
Cyzicum	town celebrated in ancient times, in Mysia
Dabanegoris Regio	part of Arabia
Dabar	Numidian
Daci	Dacians, a famous warlike people, akin to the Thracians
Dadastana	city of Bithynia, near the borders of Galatia
Daedala	fortified place in Caria
Daedalion	king of Trachis, son of Lucifer
Daemon2	name of a Greek sculptor
Daemones	name of an old man
Daesitiatae	people in the south of Pannonia Superior, Pl. 3
Dahae	Scythian tribe beyond the Caspian Sea
Dahippus	sculptor, son and pupil of Lysippus
Daiphron	Grecian sculptor
Dalion	physician
Dalmatae	Dalmatians, on the eastern coast of the Adriatic
Dama2	name of a slave
Damalis	name of a woman
Damascus	Dammesek or Darmesek, the very ancient capital of Coelesyria
Damasichthon	son of Amphion and Niobe
Damasippus	follower of Marius
Damocles	courtier of Dionysius the younger
Damoetas	name of a shepherd
Damon	Pythagorean
Danae	daughter of Acrisius
Danaster	river forming the boundary between Dacia and Sarmatia
Danaus	son of Belus
Dandari	Scythian tribe in Asiatic Sarmatia
Dani	Danes, the people of Denmark, Venant
Daniel	Hebrew prophet
Danuvius	Danube
Daphitas	sophist of Telmessus
Daphnis	son of Mercury, a beautiful young shepherd in Sicily
Dardani	people in Upper Moesia, the modern Servia
Dardanus1	son of Jupiter and Electra of Arcadia
Dares	boxer
Dassaresii	people of Illyria
Datis	general of the Medes
Daucius	of Daucus
Daulis	city of Phocis, situated on an eminence
Daunus	fabulous king over a part of Apulia
David	second king of the Jews
Davus	name given to Roman slaves
Decebalus	Dacian king, subdued by Trajan
Decelea	demos in Attica, 120 stadia from the Boeotian frontier
December	tenth month of the Roman year, reckoned from March
Decennovium	Pomptine Marshes
Decentius	general of Magnentius
Decetia	town of the Aedui in Gallia Celtica, now Decize
Decianus2	Roman surname, Cic
Deciates	people of Liguria
Decidius	Roman proper name
Decimus2	proper names
Decius	ancient Italian praenomen
Deferunda	goddess that presided over the bringing of offerings, Inscr
Deianira	daughter of Oeneus, sister of Meleager, wife of Hercules
Deidamia	Daughter of Lycomedes, king of Scyros
Deionides	son of Deione by Apollo
Deiopea	one of Juno's nymphs, Hyg
Deiotarus	Tetrarch of Galatia
Deipassianus	believer in the capacity of the Divine nature for suffering
Deiphobe	daughter of Glaucus
Deiphobus	son of Priam and Hecuba
Delium	small place in Boeotia, with a temple of Apollo
Delminium	ancient capital of Dalmatia
Delos	small island in the Aegean Sea
Delphi	famous city of the oracle of Apollo in Phocis
Deltoton	Triangle, a constellation
Demades	famous Athenian orator who sided with Macedon
Demarata	daughter of King Hiero
Demaratus	Corinthian, the father of Tarquinius Priscus
Demea	Greek proper name
Demetrias	city in Thessaly
Demetrium	town in Phthiotis, with a temple to Demeter
Demetrius	son of Antigonus
Demipho	character in the Phormio of Terence, 2, 3
Demochares	Athenian orator and historian, nephew of Demosthenes
Democritus	celebrated philosopher born at Abdera
Demodocus	companion of Aeneas
Demoleon	centaur slain by Perseus
Demoleos	Grecian chieftain before Troy
Demophilus	Greek comic
Demophoon	son of Theseus and Phaedra, a lover of Phyllis
Demosthenes	most celebrated of the Grecian orators
Denseletae	tribe of Northern Thrace
Denter	surname of M. Livius
Dentheliathes	Denthelian, belonging to Denthalii
Deois	daughter of Deo
Deoius	belonging or sacred to Deo
Deraemestae	people in Dalmatia
Derangae	people of India
Derbe	fortified city of Lycaonia, residence of Cicero's friend
Derbices	people of Asia, near the mouth of the Oxus
Dercetis	Syrian goddess, called also Atargatis
Dercylides	sculptor
Dertona	city in Liguria, now Tortona
Desilaus	Grecian painter
Desudaba	town in Thrace
Deucalion	son of Prometheus, king of Phthia, in Thessaly
Deverra	goddess of sweeping
Dexamenus	name of a centaur
Dexippus	Greek proper name
Dexius	Roman proper name
Dexo	Greek proper name
Dia	old name of the island of Naxos
Diablintes	people in Gallia Lugdunensis, near the present Mayenne
Diadematus2	Roman surname
Diagondas	Theban lawgiver
Diagoras	atheistic philosopher and poet of Melos
Dialis	Of or belonging to Jupiter
Diana	Italian divinity, afterwards regarded as identical
Diapontius	beyond seas, a feigned name in Plautus
Dicaearchia	old name of Puteoli, now Puzzuolo
Dicaearchus	founder of Dicaearchia
Dicte	mountain in the eastern part of Crete
Dictynna	nymph Britomartis, so called because
Dictys	mariner changed by Bacchus into a dolphin
Didius	name of a Roman plebeian gens
Dido2	celebrated foundress of Carthage
Didymae	group of islands on the coast of Troas
Didymaeus	city of Ionia
Didymaon	name of a skilful artificer
Didyme	island near Sicily
Diespiter	Juppiter
Digentia	small, clear stream that flowed by Horace's villa
Digitus2	proper name
Dinaea	Roman female name
Dinarchus	Attic orator, an imitator of Demosthenes
Dindymus	mountain in Mysia near Pessinus, sacred to Cybele
Dino	Greek historian of the time of Philip of Macedonia
Dinocrates	Grecian architect in the time of Alexander the Great
Dinomache	mother of Alcibiades
Dinomachus	Greek philosopher
Diochares	freedman of Caesar
Diocletianus	Roman emperor from 284-305 A. D., Aurel
Diodorus	Peripatetic philosopher, a pupil of Critolaus
Diodotus	Stoic
Diogenes	celebrated Ionian philosopher, pupil of Anaximenes
Diomedes	son of Tydeus, king of Aetolia
Dione	mother of Venus, Cic. l. l
Dionysia1	noted dancer
Dionysius	name of several celebrated Greeks
Dionysopolitae	inhabitants of Dionysopolis, a city of Magna Phrygia
Dionysus	Greek name of Bacchus
Diophanes	Of Mitylenae, teacher of Tib
Dioryctos	trench or canal, in Acarnania
Dios1	kind of chestnut, perh. the large sweet chestnut
Dios2	species of rosemary
Diospyros	plant, otherwise called lithospermon, stonecrop
Diovis	old Italian name for Juppiter
Diphilus	celebrated Greek comic writer of Sinope, imitated by Plautus
Dipsas2	name given to an old bawd
Dipylon	gate at Athens that closed the Ceramicus
Dirae	Furies
Dirce	fountain N. W. of Thebes, in Boeotia
Dircenna	fountain in Spain, near Bilbilis
Dis2	godhead, deity, in general
Discus2	name of a freedman
Divico	distinguished Helvetian, a general in the war against Cassius
Divitenses	inhabitants of the town Divitia
Divitiacus	brother of Dumnorix
Divodurum	city of the Mediomatrici in Gallia Belgica
Divona	city in the neighborhood of Bordeaux
Dolabella2	name of a Roman family in the gens Cornelia
Dolicha	city of Thessalia
Dolichenus	epithet of Jupiter
Dolichos1	name of a gladiator
Dolopes	Dolopes or Dolopians, a people in Thessaly
Domiducus	god that conducts home, epithet of Jupiter and Juno
Domitianus	Roman emperor, son of Vespasian
Domitius2	appellation of a Roman gens
Donatus	celebrated Roman grammarian of the fourth century of our era
Donusa	small island in the Aegean Sea, east of Naxos
Dorceus	name of one of Actaeon's hounds
Dorcium	name of a female slave
Dores	Dorians
Dorias	character in the Eunuchus of Terence
Dorice	in the Doric manner
Dorio	character in the Phormio of Terence
Dorippa	name of a woman
Dorso	Roman surname
Dorus	legendary ancestor of the Dorians
Doryclus	from Mount Tmarus in Epirus, husband of Beroe
Dorylaeum	city of Phrygia
Dorylas	Greek proper name
Doryphorus	Lance-bearer, a statue by Polycletus, famous in ancient times
Dossennus2	Roman proper name
Doto2	sea-nymph
Draco2	proper name
Drancae	Persian or Bactrian tribe
Draus	river Drave in Hungary
Drepana	town on the western coast of Sicily, now Trapani
Dromo2	name of a slave
Druentia	tributary river of the Rhodanus, now Durance
Druides	Druids, the priests and wise men of the Gauls
Drusus	well-known Roman surname in the Livian family
Dryades	wood-nymphs, dryads
Dryas1	father of Lycurgus king of Thrace
Drymo	sea-nymph
Dryope	mother of Amphissus by Apollo
Dryops	One of the Dryopes, a people of Epirus
Drysidae	Druids
Dubis	river in Gallia Belgica, now Doubs
Duellius	Roman gens
Dulgibini	Germanic tribe on the banks of the Weser
Dulichium	island of the Ionian Sea, southeast of Ithaca
Dulorestes	title of a tragedy of Pacuvius
Dumnorix	Aeduan, brother of Divitiacus
Duranius	river in Gallia, now Dordogne, Auson
Duris	Greek author, of Samos
Durius2	one of the principal rivers of Spain
Durocortorum	capital of the Remi in Gallia Belgica, now Rheims
Duronius	Roman proper name
Dusaritis	kind of myrrh
Dymas	father of Hecuba
Dyme	old sea-coast town in Achaia, west of Olenos
Dyraspes	river in Scythia
Dyrrachium	famous sea-coast town of Grecian Illyria
Earinus	name of a slave, cited as an example
Ebora	castle in Spain, perh. the present Ixar
Eboracum	capital of the Brigantes in Britain, now York
Ebromagus	city in the province of Gaul, now Bram
Eburini	people of Lucania
Eburobrittium	town of Lusitania
Eburones	nation of Gallia Belgica, extending from Liege to Aix-laChapelle
Ebusus	island of the Mediterranean, on the coast of Spain
Ecbatana	principal city of Media, now Hamadan
Ecclesiastes	Preacher
Ecetra	city of the Volsci
Echecrates	Pythagorean philosopher, a contemporary of Plato
Echinades	small group of islands in the Ionian Sea
Echinus2	city of Phthiotis, in Thessaly
Echion2	One of the heroes who sprang up
Edessa	city of Macedonia, the burial-place of the kings
Edom	Esau, elder son of the patriarch Isaac
Edomino	to control absolutely
Edoni	people of Thrace, east of the Strymon
Edusa	goddess that presides over children's food, Varr. ap
Eetion	father of Andromache
Egeria	nymph or Camoena celebrated in Roman mythology
Egesta	Greek name of Segesta
Egnatia	city and harbor on the coast of Appulia
Egnatius	Roman proper name
Egnatuleius	quaestor who deserted with the legio Martia from Antony
Ejuno	by Juno
Elaea	city of Aeolis
Elaeus	city on the Hellespont in the Thracian Chersonesus
Elatea	city of Phocis
Elateius	of or belonging to Elatus
Elaver	river in Gaul emptying into the Liger, now Allier
Elea	city of Lucania, the birth-place of Parmenides and Zeno
Electrus2	son of Perseus and father of Alcmena
Eleleus	surname of Bacchus
Elephantine	small but very fertile island of the Nile
Eleusin	very ancient city of Attica
Eleusium	female name
Eleutherius	surname of a god
Eleutherocilices	people
Elias2	Elijah, a prophet of the Jews
Elicius	surname of Jupiter
Elimea	district to the southwest of Macedonia
Elis	most westerly district of the Peloponnesus
Elissa	Dido
Elpenor	one of the companions of Ulysses
Elpinice	sister of Cimon
Elusa	city in Gallia Aquitania, now Eauze
Elusates	Gallic tribe in Aquitania
Elymais	district of Persia
Elysii	people of Eastern Germany
Emathia	district of Macedonia
Emerita	city of Lusitania, now Merida, Mela, 2, 6, 4
Empedocles	famous natural philosopher of Agrigentum
Emporia	district on the shore of the Lesser Syrtis
Emporiae	city of Hispania Tarraconensis, near the Pyrenees
Empylus	rhetorician of Rhodes, Cic. ap
Enceladus	one of the giants upon whom Jupiter hurled Aetna
Encheliae	people of Illyria, Mela, 2, 3, 11
Encratitae	sect of Gnostics, Cod
Encrinomenos	statue by Alcamenes
Endymion	beautiful youth of Mount Latmos, in Caria
Engonasi	Kneeler, the constellation Hercules
Enguion	city in the interior of Sicily, now Gangi Vetere
Enipeus	river in Thessaly that flows into the Peneus
Enispe	city of Arcadia
Ennaeteris	period of nine years
Ennius	most celebrated Roman poet of the ante-class. period
Ennosigaeus	earth-shaker, a surname of Neptune
Enoch	Hebrew patriarch, son of Seth
Entella	city in the interior of Sicily
Entellus	Sicilian hero, famous as a pugilist
Enyo	goddess of war, pure
Eos	dawn
Epaminondas	famous general of the Thebans
Epaphroditus	freedman of the Emperor Nero
Epaphus	son of Jupiter Ammon and Io
Epeus	son of Panopeus, the contriver of the Trojan horse
Ephesus	old and celebrated commercial city of Ionia
Ephialtes	son of Aloeus and brother of Otus
Ephorus2	celebrated Greek historian of Cumae, a disciple of Isocrates
Ephyra	another name for Corinth
Epicharmus	famous Pythagorean philosopher and comic poet of Cos
Epiclerus	Only Daughter and Heiress
Epicrates	victorious, supreme
Epictetus	famous Stoic philosopher of Hierapolis in Phrygia
Epicurus	famous Greek philosopher of Gargettus, in Attica
