# suspect: 910 rows -- regenerate with `make baseline`
A1	word-class
Albiona	ungrounded
Alii	ungrounded
Bellius	form-note
Burrus2	form-note
Empanda	ungrounded
Februatus	ungrounded
Frutinal	bare-echo
Geneva	ungrounded
H	word-class
Imbrasides	ungrounded
Imbrius	ungrounded
Iphicratensis	ungrounded
Lar2	ungrounded
Lases	fragment
Mersura	ungrounded
Oarion	latin-chars
Orchus	ungrounded
P	bare-echo
Q	bare-echo
S	word-class
Sanates	ungrounded
Xyline	bare-echo
Z	word-class
ab	word-class
abfore	adv-inherits-verb
abgregare	ungrounded
abhorresco	ungrounded
abigeatus	ungrounded
abnegativus	word-class
abortum	ungrounded
accubito	ungrounded
aceto	form-note
acinarius	etymology-leak
acritas1	ungrounded
acroamatarius	etymology-leak
acroamaticus	ungrounded
acrocolion	ungrounded
acror	ungrounded
actorius1	ungrounded
actuarium	ungrounded
aculeatus	etymology-leak
acuminarius	etymology-leak
acva	ungrounded
adactio	etymology-leak
adactus2	etymology-leak
adadunephros	etymology-leak
adhortativus	etymology-leak
aditialis	etymology-leak
aditiculus	ungrounded
adjacentia	ungrounded
adjecto	editorial-apparatus
adjectus2	latin-chars
adjuratorius	etymology-leak
adjutor1	ungrounded
administratorius	etymology-leak
admissura	ungrounded
admurmuror	latin-chars
adnomen	ungrounded
adolatio	ungrounded
adulteratrix	ungrounded
aduncitas	etymology-leak
adventorius	etymology-leak
adverbium	word-class
aedifacio	ungrounded
aedifex	ungrounded
aedilatus	ungrounded
aequilibratus	ungrounded
aerificium	ungrounded
aeruca	etymology-leak
aestimatorius	etymology-leak
aestimium	ungrounded
aeviternus	ungrounded
affectus1	ungrounded
affirmanter	adv-inherits-verb
affore	adv-inherits-verb
afore	adv-inherits-verb
age	adv-inherits-verb
agina	etymology-leak
agitatrix	etymology-leak
alcedonia	etymology-leak
aleatorius	etymology-leak
aletudo	etymology-leak
allectus1	latin-chars
alligamentum	ungrounded
allus	ungrounded
alpha	word-class
alteruterque	bare-echo
altitonus	ungrounded
aluminatus	etymology-leak
ameci	ungrounded
amygdalaceus	etymology-leak
anapaestus	latin-chars
anas2	etymology-leak
ancus1	ungrounded
angustitas	ungrounded
animaequus	etymology-leak
animatrix	etymology-leak
animus	form-note
antarium bellum	ungrounded
antefactus	ungrounded
antescholanus	etymology-leak
anus1	bare-echo
ape	adv-inherits-verb
apexabo	etymology-leak
aquariolus	etymology-leak
aquiminale	ungrounded
araneolus	ungrounded
arbilla	ungrounded
arcella	ungrounded
arcuatus	ungrounded
arcubii	ungrounded
are	adv-inherits-verb
arferia	ungrounded
argumentabilis	ungrounded
argumentatrix	etymology-leak
arvalis	etymology-leak
asininus	etymology-leak
assertorius	etymology-leak
assessorius	etymology-leak
asseveranter	adv-inherits-verb
assumentum	fragment
atlantion	etymology-leak
atricolor	ungrounded
atterraneus	ungrounded
auditorialis	etymology-leak
aversabilis	etymology-leak
bacalia	etymology-leak
bacca	ungrounded
baceolus	ungrounded
bajulatorius	etymology-leak
balatus	etymology-leak
barbatoria	etymology-leak
barditus	etymology-leak
barytonos	ungrounded
bat2	ungrounded
battualia	etymology-leak
belutus	ungrounded
bennarius	latin-chars
beta2	word-class
bigradum	ungrounded
bimaritus	etymology-leak
bimatus	etymology-leak
bipensilis	etymology-leak
biseta	ungrounded
boiae	etymology-leak
bonum	ungrounded
botrax	ungrounded
brocchitas	etymology-leak
bubalinus	etymology-leak
bubinare	ungrounded
bucetum	etymology-leak
caelus	ungrounded
caesuratim	etymology-leak
calculatorius	etymology-leak
calumniatrix	etymology-leak
campicursio	etymology-leak
candificus	etymology-leak
capabilis	ungrounded
capitarium	ungrounded
caprinus	etymology-leak
caro1	ungrounded
carpentarius	etymology-leak
cathedralicius	etymology-leak
caucus	ungrounded
caudicalis	etymology-leak
cavealis	etymology-leak
ce	word-class
centenarius	etymology-leak
centumpeda	ungrounded
centuriatio	etymology-leak
cepos	ungrounded
cervical	etymology-leak
chrysoberyllus	ungrounded
cinctor	ungrounded
ciniflo	fragment
circuitor	latin-chars
circumhabitator	ungrounded
citharoedicus	latin-chars
citratus1	etymology-leak
clarigatio	etymology-leak
clarissimatus	etymology-leak
clibanarius	etymology-leak
clingere	ungrounded
cluior	ungrounded
cluo1	ungrounded
cnasonas	ungrounded
coadunatio	etymology-leak
cognitorius	etymology-leak
cognominatio	form-note
cohospitans	ungrounded
coleatus	bare-echo
colorabilis	ungrounded
colostratio	etymology-leak
commisero	etymology-leak
communalis	etymology-leak
communicarius	ungrounded
communicator	ungrounded
comperendinatus	ungrounded
compresbyter	ungrounded
conceptum	ungrounded
conciliatricula	ungrounded
concitatrix	etymology-leak
concupisco	ungrounded
confessorius	etymology-leak
confixilis	ungrounded
confore	adv-inherits-verb
conire	adv-inherits-verb
consecratrix	etymology-leak
consortalis	etymology-leak
constratum	bare-echo
consularius	ungrounded
contactus1	ungrounded
contemplatorius	ungrounded
contemptibilitas	ungrounded
continuanter	ungrounded
convexus2	ungrounded,latin-chars
copona	ungrounded
coriago	etymology-leak
corniculus	etymology-leak
corollaria	etymology-leak
coronarius	etymology-leak
corticatus	etymology-leak
corymbiatus	etymology-leak
cosmittere	form-note
cothurnatus	etymology-leak
cotoriae	ungrounded
crapularius	etymology-leak
creatrix	etymology-leak
crebrisuro	ungrounded
creditor	bare-echo
cremum	ungrounded
crepitulum	ungrounded
cruentatio	etymology-leak
cucurbitatio	etymology-leak
cujusnam	latin-chars
cultrarius	etymology-leak
cultus1	ungrounded
cunctatus	form-note
cunnilingus	ungrounded
cuparius	fragment
cupla1	ungrounded
curandus	ungrounded
curans	ungrounded
cusio	etymology-leak
cuturnium	ungrounded
